No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 8,SILVA CARNEIRO Macris Fernanda,26,1.0,30,57,8.67
 9,RATZKE Roberta Silva,14,, 9,23,4.67
18,BRAIT Camila,3,, 3,6,1.0
10,BRAGA GUIMARAES Gabriela,1,, 3,4,0.33
11,CAIXETA Tandara,1,, 3,4,0.33
 2,de OLIVEIRA SAAD GATTAZ Caroline,1,,, 1,0.33
15,da SILVA Ana Carolina,1,,, 1,0.33
7,MONTIBELLER Rosamaria,,,, ,
12,PEREIRA Natalia,,,, ,
16,RODRIGUES Fernanda,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,47,1.0,48,96,15.67
