No.,Name,Points,Errors,In-Play,Attempts,%
10,BRAGA GUIMARAES Gabriela,16.0,4,15,35,34.29
16,RODRIGUES Fernanda,12.0,4,11,27,29.63
 7,MONTIBELLER Rosamaria,8.0,5,8,21,14.29
15,da SILVA Ana Carolina,6.0,5,9,20,
11,CAIXETA Tandara,6.0,3,10,19,
2,de OLIVEIRA SAAD GATTAZ Caroline,11.0,1,4,16,
8,SILVA CARNEIRO Macris Fernanda,,,, ,
9,RATZKE Roberta Silva,,,, ,
12,PEREIRA Natalia,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
18,BRAIT Camila,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,59.0,22,57,138,26.81
