No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
18,BRAIT Camila,14,1.0,6,21,4.67
10,BRAGA GUIMARAES Gabriela,6,4.0,2,12,2.0
 8,SILVA CARNEIRO Macris Fernanda,5,2.0,1,8,1.67
16,RODRIGUES Fernanda,3,14.0,4,21,1.0
12,PEREIRA Natalia,2,2.0,4,8,0.67
 2,de OLIVEIRA SAAD GATTAZ Caroline,1,, 1,2,0.33
 9,RATZKE Roberta Silva,,2.0,, 2,0.0
11,CAIXETA Tandara,,2.0,, 2,0.0
15,da SILVA Ana Carolina,,, 1,1,0.0
7,MONTIBELLER Rosamaria,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,31,27.0,19,77,10.33
