No.,Name,Points,Errors,In-Play,Attempts,%
16,RODRIGUES Fernanda,13.0,1,14,28,42.86
12,PEREIRA Natalia,6.0,2,9,17,23.53
10,BRAGA GUIMARAES Gabriela,9.0,5,10,24,16.67
11,CAIXETA Tandara,6.0,2,8,16,
15,da SILVA Ana Carolina,6.0,3,5,14,
2,de OLIVEIRA SAAD GATTAZ Caroline,4.0,1,6,11,
8,SILVA CARNEIRO Macris Fernanda,3.0,,, 3,
7,MONTIBELLER Rosamaria,,,, ,
9,RATZKE Roberta Silva,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
18,BRAIT Camila,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,47.0,14,52,113,29.2
